@RELATION _clementf 

 @ATTRIBUTE 2014 {0,1} %length :3
 @ATTRIBUTE 2015 {0,1} %length :4
 @ATTRIBUTE mais {0,1} %length :9
 @ATTRIBUTE sont {0,1} %length :8
 @ATTRIBUTE tout {0,1} %length :5
 @ATTRIBUTE dans {0,1} %length :21
 @ATTRIBUTE panamapapers {0,1} %length :2
 @ATTRIBUTE entre {0,1} %length :4
 @ATTRIBUTE france {0,1} %length :5
 @ATTRIBUTE toujours {0,1} %length :3
 @ATTRIBUTE hiver {0,1} %length :2
 @ATTRIBUTE faire {0,1} %length :2
 @ATTRIBUTE quebec {0,1} %length :3
 @ATTRIBUTE cashinvestigati {0,1} %length :2
 @ATTRIBUTE cashinvestigation {0,1} %length :6
 @ATTRIBUTE premi {0,1} %length :2
 @ATTRIBUTE images {0,1} %length :3
 @ATTRIBUTE cedric {0,1} %length :2
 @ATTRIBUTE jour {0,1} %length :2
 @ATTRIBUTE chez {0,1} %length :3
 @ATTRIBUTE isenbrest {0,1} %length :3
 @ATTRIBUTE site {0,1} %length :2
 @ATTRIBUTE aussi {0,1} %length :6
 @ATTRIBUTE genre {0,1} %length :2
 @ATTRIBUTE numerama {0,1} %length :4
 @ATTRIBUTE microsoft {0,1} %length :4
 @ATTRIBUTE annonce {0,1} %length :2
 @ATTRIBUTE arriv {0,1} %length :2
 @ATTRIBUTE sous {0,1} %length :2
 @ATTRIBUTE more {0,1} %length :3
 @ATTRIBUTE this {0,1} %length :4
 @ATTRIBUTE waxzce {0,1} %length :4
 @ATTRIBUTE pour {0,1} %length :32
 @ATTRIBUTE tous {0,1} %length :7
 @ATTRIBUTE temps {0,1} %length :2
 @ATTRIBUTE medium {0,1} %length :2
 @ATTRIBUTE javascript {0,1} %length :5
 @ATTRIBUTE most {0,1} %length :2
 @ATTRIBUTE angularjs {0,1} %length :7
 @ATTRIBUTE grafikart_fr {0,1} %length :2
 @ATTRIBUTE gonzague {0,1} %length :3
 @ATTRIBUTE avant {0,1} %length :2
 @ATTRIBUTE vous {0,1} %length :11
 @ATTRIBUTE explosion {0,1} %length :2
 @ATTRIBUTE bien {0,1} %length :4
 @ATTRIBUTE beau {0,1} %length :2
 @ATTRIBUTE retour {0,1} %length :2
 @ATTRIBUTE asie {0,1} %length :4
 @ATTRIBUTE visite {0,1} %length :2
 @ATTRIBUTE backpacking {0,1} %length :5
 @ATTRIBUTE deux {0,1} %length :5
 @ATTRIBUTE prison {0,1} %length :2
 @ATTRIBUTE gaelpezier {0,1} %length :3
 @ATTRIBUTE apple {0,1} %length :3
 @ATTRIBUTE doesn {0,1} %length :2
 @ATTRIBUTE look {0,1} %length :2
 @ATTRIBUTE like {0,1} %length :3
 @ATTRIBUTE gogoroadtrip {0,1} %length :14
 @ATTRIBUTE suivez {0,1} %length :2
 @ATTRIBUTE projet {0,1} %length :6
 @ATTRIBUTE goroadtrip {0,1} %length :8
 @ATTRIBUTE voyage {0,1} %length :4
 @ATTRIBUTE aide {0,1} %length :2
 @ATTRIBUTE attention {0,1} %length :2
 @ATTRIBUTE vietnam {0,1} %length :3
 @ATTRIBUTE nginx {0,1} %length :2
 @ATTRIBUTE with {0,1} %length :10
 @ATTRIBUTE code {0,1} %length :3
 @ATTRIBUTE couvrir {0,1} %length :2
 @ATTRIBUTE notre {0,1} %length :3
 @ATTRIBUTE histoire {0,1} %length :2
 @ATTRIBUTE blog {0,1} %length :5
 @ATTRIBUTE _clementf {0,1} %length :2
 @ATTRIBUTE roadtrip {0,1} %length :5
 @ATTRIBUTE voyages {0,1} %length :2
 @ATTRIBUTE avec {0,1} %length :8
 @ATTRIBUTE swbrest {0,1} %length :17
 @ATTRIBUTE encore {0,1} %length :3
 @ATTRIBUTE york {0,1} %length :3
 @ATTRIBUTE jours {0,1} %length :6
 @ATTRIBUTE visiter {0,1} %length :3
 @ATTRIBUTE gros {0,1} %length :3
 @ATTRIBUTE startup {0,1} %length :6
 @ATTRIBUTE merci {0,1} %length :5
 @ATTRIBUTE guilhem {0,1} %length :2
 @ATTRIBUTE fait {0,1} %length :5
 @ATTRIBUTE chir {0,1} %length :2
 @ATTRIBUTE travel {0,1} %length :4
 @ATTRIBUTE laos {0,1} %length :3
 @ATTRIBUTE explained {0,1} %length :3
 @ATTRIBUTE engineering {0,1} %length :2
 @ATTRIBUTE your {0,1} %length :11
 @ATTRIBUTE business {0,1} %length :3
 @ATTRIBUTE software {0,1} %length :2
 @ATTRIBUTE uncoindpixel {0,1} %length :4
 @ATTRIBUTE aller {0,1} %length :2
 @ATTRIBUTE vaut {0,1} %length :2
 @ATTRIBUTE mieux {0,1} %length :3
 @ATTRIBUTE contre {0,1} %length :3
 @ATTRIBUTE cool {0,1} %length :5
 @ATTRIBUTE angkor {0,1} %length :2
 @ATTRIBUTE test {0,1} %length :2
 @ATTRIBUTE node {0,1} %length :3
 @ATTRIBUTE express {0,1} %length :3
 @ATTRIBUTE twitter {0,1} %length :2
 @ATTRIBUTE find {0,1} %length :2
 @ATTRIBUTE right {0,1} %length :2
 @ATTRIBUTE mathailande {0,1} %length :2
 @ATTRIBUTE etat {0,1} %length :2
 @ATTRIBUTE changer {0,1} %length :2
 @ATTRIBUTE korben {0,1} %length :2
 @ATTRIBUTE article {0,1} %length :3
 @ATTRIBUTE comment {0,1} %length :6
 @ATTRIBUTE bangkok {0,1} %length :2
 @ATTRIBUTE conseils {0,1} %length :2
 @ATTRIBUTE astuces {0,1} %length :2
 @ATTRIBUTE erreurs {0,1} %length :2
 @ATTRIBUTE entrepreneurs {0,1} %length :3
 @ATTRIBUTE angular {0,1} %length :2
 @ATTRIBUTE work {0,1} %length :2
 @ATTRIBUTE watch {0,1} %length :2
 @ATTRIBUTE explorer {0,1} %length :2
 @ATTRIBUTE canada {0,1} %length :2
 @ATTRIBUTE using {0,1} %length :4
 @ATTRIBUTE build {0,1} %length :3
 @ATTRIBUTE mobile {0,1} %length :3
 @ATTRIBUTE nodejs {0,1} %length :4
 @ATTRIBUTE that {0,1} %length :3
 @ATTRIBUTE time {0,1} %length :3
 @ATTRIBUTE permettra {0,1} %length :2
 @ATTRIBUTE chicago {0,1} %length :2
 @ATTRIBUTE good {0,1} %length :4
 @ATTRIBUTE from {0,1} %length :4
 @ATTRIBUTE data {0,1} %length :4
 @ATTRIBUTE morning {0,1} %length :2
 @ATTRIBUTE routine {0,1} %length :2
 @ATTRIBUTE productivity {0,1} %length :3
 @ATTRIBUTE gates {0,1} %length :2
 @ATTRIBUTE mark {0,1} %length :2
 @ATTRIBUTE toronto {0,1} %length :2
 @ATTRIBUTE mois {0,1} %length :3
 @ATTRIBUTE team {0,1} %length :2
 @ATTRIBUTE plus {0,1} %length :11
 @ATTRIBUTE tech {0,1} %length :3
 @ATTRIBUTE donc {0,1} %length :3
 @ATTRIBUTE peut {0,1} %length :3
 @ATTRIBUTE prendre {0,1} %length :3
 @ATTRIBUTE toutes {0,1} %length :2
 @ATTRIBUTE google {0,1} %length :3
 @ATTRIBUTE savoir {0,1} %length :2
 @ATTRIBUTE nouvelle {0,1} %length :2
 @ATTRIBUTE soci {0,1} %length :2
 @ATTRIBUTE hellfestopenair {0,1} %length :8
 @ATTRIBUTE hellfest {0,1} %length :3
 @ATTRIBUTE check {0,1} %length :6
 @ATTRIBUTE anything {0,1} %length :2
 @ATTRIBUTE github {0,1} %length :3
 @ATTRIBUTE pocket {0,1} %length :6
 @ATTRIBUTE lesechos {0,1} %length :3
 @ATTRIBUTE trucs {0,1} %length :2
 @ATTRIBUTE avoir {0,1} %length :3
 @ATTRIBUTE youtube {0,1} %length :2
 @ATTRIBUTE hell {0,1} %length :4
 @ATTRIBUTE comme {0,1} %length :2
 @ATTRIBUTE lines {0,1} %length :2
 @ATTRIBUTE guillaume_tng {0,1} %length :3
 @ATTRIBUTE again {0,1} %length :2
 @ATTRIBUTE enfin {0,1} %length :2
 @ATTRIBUTE ponse {0,1} %length :2
 @ATTRIBUTE forte {0,1} %length :2
 @ATTRIBUTE pjlrenseignement {0,1} %length :5
 @ATTRIBUTE nouveau {0,1} %length :2
 @ATTRIBUTE toute {0,1} %length :2
 @ATTRIBUTE discr {0,1} %length :2
 @ATTRIBUTE tion {0,1} %length :2
 @ATTRIBUTE gouvernement {0,1} %length :2
 @ATTRIBUTE dire {0,1} %length :2
 @ATTRIBUTE iamdevloper {0,1} %length :4
 @ATTRIBUTE help {0,1} %length :2
 @ATTRIBUTE service {0,1} %length :4
 @ATTRIBUTE recherche {0,1} %length :2
 @ATTRIBUTE facebook {0,1} %length :5
 @ATTRIBUTE choisit {0,1} %length :2
 @ATTRIBUTE petit {0,1} %length :3
 @ATTRIBUTE willybraun {0,1} %length :3
 @ATTRIBUTE monde {0,1} %length :2
 @ATTRIBUTE lecture {0,1} %length :2
 @ATTRIBUTE pierrez {0,1} %length :7
 @ATTRIBUTE last {0,1} %length :2
 @ATTRIBUTE enfer {0,1} %length :2
 @ATTRIBUTE photo {0,1} %length :3
 @ATTRIBUTE hellfest2015 {0,1} %length :3
 @ATTRIBUTE barque {0,1} %length :2
 @ATTRIBUTE matin {0,1} %length :2
 @ATTRIBUTE great {0,1} %length :2
 @ATTRIBUTE their {0,1} %length :2
 @ATTRIBUTE just {0,1} %length :3
 @ATTRIBUTE selon {0,1} %length :2
 @ATTRIBUTE huile {0,1} %length :2
 @ATTRIBUTE palme {0,1} %length :2
 @ATTRIBUTE security {0,1} %length :2
 @ATTRIBUTE digitalocean {0,1} %length :2
 @ATTRIBUTE fran {0,1} %length :2
 @ATTRIBUTE teaser {0,1} %length :2
 @ATTRIBUTE claration {0,1} %length :2
 @ATTRIBUTE nial {0,1} %length :4
 @ATTRIBUTE travail {0,1} %length :3
 @ATTRIBUTE client {0,1} %length :2
 @ATTRIBUTE kaligrame {0,1} %length :3
 @ATTRIBUTE tudiant {0,1} %length :3
 @ATTRIBUTE votre {0,1} %length :2
 @ATTRIBUTE startups {0,1} %length :2
 @ATTRIBUTE gathouel {0,1} %length :3
 @ATTRIBUTE infographie {0,1} %length :3
 @ATTRIBUTE direct {0,1} %length :2
 @ATTRIBUTE starwars {0,1} %length :2
 @ATTRIBUTE computer {0,1} %length :2
 @ATTRIBUTE level {0,1} %length :3
 @ATTRIBUTE languages {0,1} %length :2
 @ATTRIBUTE chaque {0,1} %length :2
 @ATTRIBUTE seocamp {0,1} %length :2
 @ATTRIBUTE apprend {0,1} %length :2
 @ATTRIBUTE alors {0,1} %length :2
 @ATTRIBUTE soundcloud {0,1} %length :2
 @ATTRIBUTE brest {0,1} %length :9
 @ATTRIBUTE sympa {0,1} %length :3
 @ATTRIBUTE stop {0,1} %length :2
 @ATTRIBUTE mission {0,1} %length :2
 @ATTRIBUTE portables {0,1} %length :2
 @ATTRIBUTE phones {0,1} %length :2
 @ATTRIBUTE anglais {0,1} %length :2
 @ATTRIBUTE account {0,1} %length :2
 @ATTRIBUTE about {0,1} %length :2
 @ATTRIBUTE utiliser {0,1} %length :2
 @ATTRIBUTE 20minutes {0,1} %length :3
 @ATTRIBUTE some {0,1} %length :2
 @ATTRIBUTE free {0,1} %length :2
 @ATTRIBUTE brenabolivier {0,1} %length :7
 @ATTRIBUTE aymericpm {0,1} %length :3
 @ATTRIBUTE open {0,1} %length :2
 @ATTRIBUTE best {0,1} %length :2
 @ATTRIBUTE week {0,1} %length :3
 @ATTRIBUTE cherchez {0,1} %length :2
 @ATTRIBUTE start {0,1} %length :3
 @ATTRIBUTE gagn {0,1} %length :3
 @ATTRIBUTE quipe {0,1} %length :3
 @ATTRIBUTE quand {0,1} %length :3
 @ATTRIBUTE besoin {0,1} %length :3
 @ATTRIBUTE framework {0,1} %length :2
 @ATTRIBUTE mongodb {0,1} %length :3
 @ATTRIBUTE prix {0,1} %length :3
 @ATTRIBUTE bravo {0,1} %length :2
 @ATTRIBUTE entreprenariat {0,1} %length :2
 @ATTRIBUTE thedamfr {0,1} %length :2
 @ATTRIBUTE sw_brest {0,1} %length :2
 @ATTRIBUTE belle {0,1} %length :3
 @ATTRIBUTE lucifugae {0,1} %length :2
 @ATTRIBUTE covoitdeboite {0,1} %length :2
 @ATTRIBUTE never {0,1} %length :2
 @ATTRIBUTE samsung {0,1} %length :2
 @ATTRIBUTE grandirsanscancer {0,1} %length :2
 @ATTRIBUTE steashaz {0,1} %length :2
 @ATTRIBUTE quel {0,1} %length :2
 @ATTRIBUTE openssh {0,1} %length :2
 @ATTRIBUTE maitre_eolas {0,1} %length :2
 @ATTRIBUTE elle {0,1} %length :2
 @ATTRIBUTE syst {0,1} %length :2
 @ATTRIBUTE password {0,1} %length :4
 @ATTRIBUTE authentication {0,1} %length :2
 @ATTRIBUTE mongoose {0,1} %length :2
 @ATTRIBUTE part {0,1} %length :2
 @ATTRIBUTE spread {0,1} %length :2
 @ATTRIBUTE news {0,1} %length :2
 @ATTRIBUTE interstellar {0,1} %length :4
 @ATTRIBUTE haha {0,1} %length :2
 @ATTRIBUTE maths {0,1} %length :2
 @ATTRIBUTE gagnant {0,1} %length :2
 @ATTRIBUTE side {0,1} %length :2
 @ATTRIBUTE application {0,1} %length :2
 @ATTRIBUTE wikipedia {0,1} %length :2
 @ATTRIBUTE perf {0,1} %length :2


@data 
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
